,点消,拖消,目标物品,Impressions,Spend,Unique redirects,Unique interactions,Total interactions,Unique redirects rate,Unique interactions rate,CTA clicked,CTA click rate,Average duration,HTML loading,HTML loaded,HTML displayed,HTML completed,HTML loading rate,HTML completion rate,Challenge started,Challenge failed,Challenge solved,Challenge pass 25,Challenge pass 50,Challenge pass 75,Challenge failed rate,Challenge solved rate,Challenge pass 25 rate,Challenge pass 50 rate,Challenge pass 75 rate,Redirect count,Endcard shown,Redirect rate,Black view error,Rendering error,Runtime error,Black view error rate,Rendering error rate,Runtime error rate
Challenge failed,-0.0563436169819011,0.0563436169819011,-0.1259881576697424,0.5684102666415787,0.5469608226173682,0.5348700391652419,0.5310112360352629,0.4157892226231577,0.43036384484473666,-0.014299629349473679,0.5331466414051871,0.4311888234610525,-0.15843926076584178,0.5323862003957892,0.5411859723031577,0.5565855731410524,0.3480511089493238,0.06507665922978478,-0.011963827134962928,0.1405213576457894,1.0,0.29280088713962116,0.3816901064821051,0.3528158549110525,0.23126900544052623,0.8447084830063554,-0.04932301740812379,0.2824176796521051,0.16554570900736837,-0.017599543814736836,0.5353468854759849,0.7235345079310652,0.43036384484473666,0.36185216586365426,-0.09927097765296695,0.23096108158014578,-0.41949114114928043,-0.1590319933043544,-0.3550895330074628
Challenge solved,-0.1690308509457033,0.1690308509457033,0.5039526306789696,0.4840543363337457,0.5266841216358654,0.12709905158758592,0.43344865571703595,0.29043260180024744,-0.28328179910440804,0.083334354493821,0.1259813798069426,-0.28218167561274043,-0.06396218505219421,0.5316346773483697,0.5338349243317049,0.5088071148962668,0.5341830558626256,0.28819706105512227,0.11525370772731211,0.511007361879602,0.29280088713962116,1.0,0.527509214254616,0.5462113136129654,0.5580376411483922,0.0189304962426277,0.6361752167960433,0.09626080552091534,0.1688689559709772,0.14521630090012372,0.12928220198529045,0.6422514311240469,-0.28328179910440804,0.48597505331054225,0.32317501635348184,0.4623992208208954,0.12539673200589535,0.15756128382654824,0.03621615059726079
Challenge pass 25,-0.2817180849095055,0.2817180849095055,0.3779644730092272,0.7985769020251778,0.7422003284072249,0.633725728645073,0.879584017515052,0.8987411056376574,0.17898193760262726,0.47783251231527096,0.6309018808226442,0.1499726327312534,0.20996442067851878,0.7547892720306514,0.7690202517788725,0.8100711548987412,0.8151088074142449,0.08726706844398723,0.2988914767281247,0.7837985769020251,0.3816901064821051,0.527509214254616,1.0,0.9819376026272578,0.9304871373836892,0.10779720586526312,0.06957319664263155,0.33004926108374383,0.3716475095785441,0.3415435139573071,0.6363760836931226,0.6146895329347839,0.17898193760262726,0.7007938943116142,0.2990353924687892,0.596766158051494,-0.11231343335033592,0.17361676314451646,-0.07837771128816237
Challenge pass 50,-0.2817180849095055,0.2817180849095055,0.5039526306789696,0.7608100711548987,0.7137383689107827,0.5869148864859769,0.8374384236453202,0.8631636562671046,0.16037219485495346,0.4909688013136289,0.5791706636966226,0.1291735084838533,0.22118807289210324,0.7214012041598249,0.7372742200328407,0.7843459222769568,0.8041604016732878,0.025795925892247797,0.3098398824690816,0.7816091954022989,0.3528158549110525,0.5462113136129654,0.9819376026272578,1.0,0.9715380405035577,0.06792323940999997,0.05389860293263156,0.3437328954570334,0.4066776135741653,0.37821565407772306,0.5901190694375795,0.5987947523238979,0.16037219485495346,0.6851902802585822,0.3321878750041317,0.5915578176734607,-0.06985347683984307,0.2082741017950378,-0.026034554448865124
Challenge pass 75,-0.2817180849095055,0.2817180849095055,0.3779644730092272,0.6743295019157088,0.5993431855500821,0.4749521119650979,0.7493158182813355,0.7952928297755884,0.06513409961685823,0.49808429118773945,0.4653072439906703,0.037219485495347565,0.24555161062403044,0.6349206349206349,0.6507936507936508,0.7066228790366721,0.7280689817736371,0.01042814025431294,0.265498839218206,0.7876299945265463,0.23126900544052623,0.5580376411483922,0.9304871373836892,0.9715380405035577,1.0,-0.06957319664263155,0.06599828930526314,0.27257799671592775,0.37219485495347565,0.38752052545155996,0.4778979105927708,0.49246415099590135,0.06513409961685823,0.6277032811158326,0.3626881589366468,0.555099435027228,-0.03150254837875276,0.2505230479594829,0.03809266387781318
Challenge failed rate,0.0563436169819011,-0.0563436169819011,-0.5039526306789696,0.2824176796521051,0.2950673517689473,0.3987112994445966,0.2538184209531578,0.16994559496105258,0.6547580284826313,-0.03244915890842104,0.4052574547900661,0.6599828930526314,-0.24288518620874702,0.2381438272431578,0.24309369894105254,0.25464339956947357,0.0642196238164102,0.07224612168730345,-0.04551754921462907,-0.26591810732578935,0.8447084830063554,0.0189304962426277,0.10779720586526312,0.06792323940999997,-0.06957319664263155,1.0,-0.024177949709864602,0.4391636167521051,0.2397937844757894,0.039048987838947356,0.396456478506875,0.5018617091167902,0.6547580284826313,0.03727173582252007,-0.2684980133835281,-0.0709272254107186,-0.5593215215323739,-0.28804856347201624,-0.4845134031226296
Challenge solved rate,-0.3944053188733077,0.3944053188733077,0.2519763153394848,-0.11192209894684206,0.02804927295473683,-0.2728676157633942,-0.10807219873736838,-0.12979663563368415,-0.22989404107999992,0.0863477618410526,-0.26265413595148496,-0.2337439412894736,0.05707664341825029,-0.08277285450368418,-0.07672301131736839,-0.0841478188642105,0.08855982384961064,0.02481737004525691,0.15731745106204126,-0.1325465643547368,-0.04932301740812379,0.6361752167960433,0.06957319664263155,0.05389860293263156,0.06599828930526314,-0.024177949709864602,1.0,0.2953423446410525,0.4105643580531577,0.46693789683473663,-0.2764056613939711,0.174033799814437,-0.22989404107999992,-0.13272038770749767,-0.013991211615518832,-0.08772940308083058,0.17258592224448743,-0.10049362663445127,-0.033457447274452684
Challenge pass 25 rate,-0.50709255283711,0.50709255283711,0.2519763153394848,0.061850027367268745,0.210727969348659,0.16561730705411196,0.1412151067323481,0.25177887246852765,0.5232621784345922,0.4329501915708812,0.1765430425729308,0.5084838533114395,0.08896797486377915,-0.037219485495347565,-0.029556650246305417,0.0021893814997263274,0.08348159377479673,-0.1350169738189991,0.2980703462975529,-0.2194854953475643,0.2824176796521051,0.09626080552091534,0.33004926108374383,0.3437328954570334,0.27257799671592775,0.4391636167521051,0.2953423446410525,1.0,0.9168035030103996,0.7673782156540777,0.16395237597083032,0.20060309322704495,0.5232621784345922,-0.01970982827751415,-0.1067509937638028,-0.0005482463555824474,-0.15532126026741577,-0.07888670416642478,-0.04905458154049323
Challenge pass 50 rate,-0.50709255283711,0.50709255283711,0.2519763153394848,-0.0010946907498631637,0.17788724685276408,0.07007938943116142,0.10673234811165845,0.2583470169677066,0.38368910782703886,0.4822112753147236,0.07143834745974409,0.3519430760810071,0.2811388005695421,-0.08866995073891626,-0.07006020799124248,-0.011494252873563218,0.1962501729066533,-0.3199792509612865,0.47379225843991196,-0.14066776135741654,0.16554570900736837,0.1688689559709772,0.3716475095785441,0.4066776135741653,0.37219485495347565,0.2397937844757894,0.4105643580531577,0.9168035030103996,1.0,0.9282977558839628,0.06870124602450485,0.17182805936250983,0.38368910782703886,-0.03175472333599502,-0.04177212799453153,-0.02741231777912237,-0.03396796520839428,-0.016833564487396084,-0.021649787383793105
Challenge pass 75 rate,-0.50709255283711,0.50709255283711,0.0,-0.11932129173508484,0.02681992337164751,-0.058308241987646024,0.009852216748768473,0.21510673234811165,0.22550629447181172,0.4767378215654078,-0.059942521431739296,0.18609742747673783,0.3758554753475962,-0.18555008210180624,-0.16091954022988506,-0.09085933223864258,0.20062953520303609,-0.3737665006940585,0.5011632727923043,-0.13464696223316913,-0.017599543814736836,0.14521630090012372,0.3415435139573071,0.37821565407772306,0.38752052545155996,0.039048987838947356,0.46693789683473663,0.7673782156540777,0.9282977558839628,1.0,-0.061584782292882834,0.05042482124832824,0.22550629447181172,-0.13605256463784074,-0.013924042664843842,-0.14720414647388713,-0.00027393520329350226,0.016833564487396084,-0.03809266387781318
Redirect count,0.0563436169819011,-0.0563436169819011,-0.629940788348712,0.8613658216697879,0.7830847206219458,0.9998631168291445,0.8712193868366492,0.6894758515367638,0.5939510114469144,0.09415628937222975,0.9972625239529154,0.5931298810163427,-0.13785078842373338,0.8260572131552018,0.824962372581106,0.8419324014795894,0.5666575417465097,0.08178976615167932,-0.10375034218450589,0.5810866347012901,0.5353468854759849,0.12928220198529045,0.6363760836931226,0.5901190694375795,0.4778979105927708,0.396456478506875,-0.2764056613939711,0.16395237597083032,0.06870124602450485,-0.061584782292882834,1.0,0.6090178676426151,0.5939510114469144,0.7357974059360148,-0.0576932146802541,0.6589452316473755,-0.2295891186452399,-0.16736833883690705,-0.07263264398077993
